NUM_STATION,THROUGHPUT,SUCCESS_RATE,NUM_TX,ALPHA
87,18.885052725193752,83.68400122653367,142100.4,0.010000000000000007
88,19.053411256511243,83.54958638597134,143597.8,0.010000000000000007
89,19.226410240121965,83.41838711991296,145129.6,0.010000000000000007
90,19.38455723542116,83.25700651117565,146606.84,0.010000000000000007
91,19.53847351035447,83.07590868526854,148093.08,0.010000000000000007
92,19.705647312920846,82.95636403757007,149575.5,0.010000000000000007
93,19.872738533858463,82.80663867769182,151116.58,0.010000000000000007
94,20.029926311777402,82.66395016212282,152574.78,0.010000000000000007
95,20.170826451530935,82.47450506941257,154000.98,0.010000000000000007
96,20.337898615169607,82.34545458872987,155519.78,0.010000000000000007
97,20.493981069749708,82.20999812453408,156971.54,0.010000000000000007
98,20.646852369457502,82.04009278009758,158470.0,0.010000000000000007
